	biomMW	atp_c	adp_c	h2o_c	pi_c	h_c	10fthf_c	2fe2s_c	2ohph_c	4fe4s_c	ala__L_c	amet_c	arg__L_c	asn__L_c	asp__L_c	btn_c	ca2_c	cl_c	coa_c	cobalt2_c	ctp_c	cu2_c	cys__L_c	datp_c	dctp_c	dgtp_c	dttp_c	fad_c	fe2_c	fe3_c	gln__L_c	glu__L_c	gly_c	gtp_c	his__L_c	ile__L_c	k_c	kdo2lipid4_e	leu__L_c	lys__L_c	met__L_c	mg2_c	mlthf_c	mn2_c	mobd_c	murein5px4p_p	nad_c	nadp_c	nh4_c	ni2_c	pe160_p	pe161_p	phe__L_c	pheme_c	ppi_c	pro__L_c	pydx5p_c	ribflv_c	ser__L_c	sheme_c	so4_c	succoa_c	thf_c	thmpp_c	thr__L_c	trp__L_c	tyr__L_c	udcpdp_c	utp_c	val__L_c	zn2_c
0		-75.55222	75.37723	-70.02895	75.37323	75.37723	-0.00022	-0.0001	-0.00022	-0.00026	-0.51367	-0.00022	-0.29578	-0.24105	-0.24105	-0.0001	-0.0052	-0.0052	-0.00058	-0.0001	-0.1335	-0.00071	-0.09158	-0.02617	-0.02702	-0.02702	-0.02617	-0.00022	-0.00671	-0.00781	-0.26315	-0.26315	-0.61261	-0.21509	-0.09473	-0.29052	-0.19519	-0.01946	-0.45051	-0.34315	-0.15368	-0.00867	-0.00022	-0.00069	-0.0001	-0.01389	-0.00183	-0.00045	-0.01301	-0.00032	-0.06381	-0.07521	-0.18526	-0.00022	0.77406	-0.22105	-0.00022	-0.00022	-0.21578	-0.00022	-0.00434	-0.0001	-0.00022	-0.00022	-0.25368	-0.05684	-0.13789	-0.0001	-0.1441	-0.42315	-0.00034
1	1007.7518068112265	-75.550873946	75.37723	-70.070089924	75.373260769	75.37723	-0.000218308	-9.9231e-05	-0.000218308	-0.000258	-0.509718759	-0.000218308	-0.293504807	-0.2391958	-0.2391958	-9.9231e-05	-0.005160001	-0.005160001	-0.000575539	-9.9231e-05	-0.132473094	-0.000704539	-0.09087555	-0.025968696	-0.026812157	-0.026812157	-0.025968696	-0.000218308	-0.006658385	-0.007749924	-0.261125803	-0.261125803	-0.607897695	-0.213435489	-0.09400132	-0.288285268	-0.193688564	-0.01931031	-0.447044597	-0.340510429	-0.152497866	-0.008603309	-0.000218308	-0.000684692	-9.9231e-05	-0.013783156	-0.001815923	-0.000446539	-0.012909925	-0.000317539	-0.074488994	-0.074631471	-0.183834947	-0.000218308	0.768105792	-0.219349644	-0.000218308	-0.000218308	-0.214120182	-0.000218308	-0.004306616	-9.9231e-05	-0.000218308	-0.000218308	-0.251728648	-0.056402777	-0.136829326	-9.9231e-05	-0.142991557	-0.419895055	-0.000337385
2	1001.7296762896358	-75.551917847	75.37723	-70.038184821	75.37323690699999	75.37723	-0.00021962	-9.9827e-05	-0.00021962	-0.000259551	-0.512783051	-0.00021962	-0.29526928	-0.240633781	-0.240633781	-9.9827e-05	-0.005191021	-0.005191021	-0.000578999	-9.9827e-05	-0.133269487	-0.000708774	-0.09142187	-0.026124813	-0.026973345	-0.026973345	-0.026124813	-0.00021962	-0.006698414	-0.007796515	-0.262695622	-0.262695622	-0.611552213	-0.214718606	-0.094566431	-0.290018362	-0.194852967	-0.019426399	-0.449732109	-0.342557486	-0.153414642	-0.00865503	-0.00021962	-0.000688809	-9.9827e-05	-0.013866016	-0.00182684	-0.000449223	-0.012987536	-0.000319447	-0.066248814	-0.075080136	-0.184940113	-0.00021962	0.77272344	-0.220668315	-0.00021962	-0.00021962	-0.215407415	-0.00021962	-0.004332506	-9.9827e-05	-0.00021962	-0.00021962	-0.253241973	-0.056741855	-0.137651907	-9.9827e-05	-0.143851184	-0.422419351	-0.000339413
3	1004.2843367270289	-75.55147348199999	75.37723	-70.051766082	75.373247064	75.37723	-0.000219061	-9.9573e-05	-0.000219061	-0.000258891	-0.511478653	-0.000219061	-0.294518185	-0.240021666	-0.240021666	-9.9573e-05	-0.005177816	-0.005177816	-0.000577526	-9.9573e-05	-0.132930481	-0.000706971	-0.091189314	-0.026058357	-0.026904731	-0.026904731	-0.026058357	-0.000219061	-0.006681375	-0.007776682	-0.262027386	-0.262027386	-0.609996569	-0.214172413	-0.094325876	-0.289280624	-0.194357308	-0.019376982	-0.448588098	-0.341686102	-0.153024392	-0.008633013	-0.000219061	-0.000687056	-9.9573e-05	-0.013830744	-0.001822193	-0.00044808	-0.012954499	-0.000318635	-0.069756467	-0.07488915	-0.18446967	-0.000219061	0.7707578130000001	-0.220106988	-0.000219061	-0.000219061	-0.21485947	-0.000219061	-0.004321485	-9.9573e-05	-0.000219061	-0.000219061	-0.252597786	-0.056597517	-0.137301753	-9.9573e-05	-0.143485261	-0.421344817	-0.00033855
4	1009.8572456950784	-75.550511918	75.37723	-70.081154715	75.373269044	75.37723	-0.000217853	-9.9024e-05	-0.000217853	-0.000257462	-0.508656052	-0.000217853	-0.292892883	-0.238697104	-0.238697104	-9.9024e-05	-0.005149243	-0.005149243	-0.000574339	-9.9024e-05	-0.132196903	-0.00070307	-0.090686085	-0.025914554	-0.026756257	-0.026756257	-0.025914554	-0.000217853	-0.006644503	-0.007733766	-0.260581385	-0.260581385	-0.606630296	-0.2129905	-0.093805338	-0.287684226	-0.193284745	-0.01927005	-0.446112559	-0.339800503	-0.152179925	-0.008585372	-0.000217853	-0.000683265	-9.9024e-05	-0.013754419	-0.001812137	-0.000445608	-0.012883009	-0.000316876	-0.077346714	-0.074475873	-0.183451672	-0.000217853	0.7665043790000001	-0.218892325	-0.000217853	-0.000217853	-0.213673765	-0.000217853	-0.004297637	-9.9024e-05	-0.000217853	-0.000217853	-0.251203822	-0.056285183	-0.136544052	-9.9024e-05	-0.142693436	-0.419019621	-0.000336681
5	1008.208824716638	-75.550795233	75.37723	-70.07249563399999	75.373262568	75.37723	-0.000218209	-9.9186e-05	-0.000218209	-0.000257883	-0.509487705	-0.000218209	-0.293371763	-0.239087374	-0.239087374	-9.9186e-05	-0.005157662	-0.005157662	-0.000575278	-9.9186e-05	-0.132413045	-0.000704219	-0.090834357	-0.025956924	-0.026800003	-0.026800003	-0.025956924	-0.000218209	-0.006655367	-0.007746411	-0.261007436	-0.261007436	-0.607622136	-0.21333874	-0.093958709	-0.288154589	-0.193600765	-0.019301557	-0.446841953	-0.340356077	-0.152428739	-0.008599409	-0.000218209	-0.000684382	-9.9186e-05	-0.013776908	-0.0018151	-0.000446336	-0.012904073	-0.000317395	-0.07511032	-0.074597641	-0.183751615	-0.000218209	0.7677576110000001	-0.219250213	-0.000218209	-0.000218209	-0.214023122	-0.000218209	-0.004304664	-9.9186e-05	-0.000218209	-0.000218209	-0.25161454	-0.056377209	-0.136767301	-9.9186e-05	-0.142926739	-0.419704718	-0.000337232
6	995.6477615897888	-75.552984927	75.37723	-70.00557126	75.37321251499999	75.37723	-0.000220962	-0.000100437	-0.000220962	-0.000261137	-0.515915387	-0.000220962	-0.297072932	-0.242103693	-0.242103693	-0.000100437	-0.005222731	-0.005222731	-0.000582535	-0.000100437	-0.134083564	-0.000713104	-0.09198032	-0.026284396	-0.027138112	-0.027138112	-0.026284396	-0.000220962	-0.006739331	-0.00784414	-0.264300298	-0.264300298	-0.61528788	-0.216030215	-0.09514409	-0.291789939	-0.196043227	-0.019545065	-0.452479298	-0.344649999	-0.154351776	-0.008707899	-0.000220962	-0.000693016	-0.000100437	-0.013950717	-0.001837999	-0.000451967	-0.01306687	-0.000321399	-0.057825661	-0.075538763	-0.18606982	-0.000220962	0.777443621	-0.222016268	-0.000220962	-0.000220962	-0.216723231	-0.000220962	-0.004358971	-0.000100437	-0.000220962	-0.000220962	-0.254788902	-0.057088463	-0.138492753	-0.000100437	-0.144729899	-0.4249997	-0.000341486
7	1004.157837684268	-75.551495433	75.37723	-70.051095203	75.37324656199999	75.37723	-0.000219089	-9.9586e-05	-0.000219089	-0.000258923	-0.511543087	-0.000219089	-0.294555287	-0.240051903	-0.240051903	-9.9586e-05	-0.005178469	-0.005178469	-0.000577598	-9.9586e-05	-0.132947227	-0.00070706	-0.091200802	-0.02606164	-0.02690812	-0.02690812	-0.02606164	-0.000219089	-0.006682216	-0.007777662	-0.262060395	-0.262060395	-0.610073414	-0.214199394	-0.094337759	-0.289317067	-0.194381792	-0.019379424	-0.448644609	-0.341729146	-0.153043669	-0.008634101	-0.000219089	-0.000687143	-9.9586e-05	-0.013832487	-0.001822423	-0.000448137	-0.012956131	-0.000318675	-0.069583199	-0.074898584	-0.184492908	-0.000219089	0.77085491	-0.220134716	-0.000219089	-0.000219089	-0.214886537	-0.000219089	-0.00432203	-9.9586e-05	-0.000219089	-0.000219089	-0.252629607	-0.056604647	-0.13731905	-9.9586e-05	-0.143503336	-0.421397896	-0.000338592
8	999.2945244145889	-75.552343538	75.37723	-70.025174255	75.373227176	75.37723	-0.000220155	-0.000100071	-0.000220155	-0.000260184	-0.514032637	-0.000220155	-0.295988813	-0.241220175	-0.241220175	-0.000100071	-0.005203671	-0.005203671	-0.000580409	-0.000100071	-0.133594247	-0.000710501	-0.091644653	-0.026188475	-0.027039075	-0.027039075	-0.026188475	-0.000220155	-0.006714737	-0.007815514	-0.263335777	-0.263335777	-0.613042487	-0.215241848	-0.094796877	-0.290725099	-0.195327799	-0.019473738	-0.450828048	-0.343392255	-0.153788494	-0.008676121	-0.000220155	-0.000690487	-0.000100071	-0.013899806	-0.001831292	-0.000450318	-0.013019185	-0.000320226	-0.062888556	-0.075263096	-0.185390789	-0.000220155	0.7746064640000001	-0.221206055	-0.000220155	-0.000220155	-0.215932335	-0.000220155	-0.004343064	-0.000100071	-0.000220155	-0.000220155	-0.253859091	-0.056880128	-0.137987347	-0.000100071	-0.144201731	-0.423448733	-0.00034024
9	999.5070740879258	-75.5523063	75.37723	-70.026312397	75.373228027	75.37723	-0.000220108	-0.000100049	-0.000220108	-0.000260128	-0.513923326	-0.000220108	-0.29592587	-0.241168878	-0.241168878	-0.000100049	-0.005202564	-0.005202564	-0.000580286	-0.000100049	-0.133565838	-0.00071035	-0.091625164	-0.026182906	-0.027033325	-0.027033325	-0.026182906	-0.000220108	-0.006713309	-0.007813852	-0.263279777	-0.263279777	-0.61291212	-0.215196076	-0.094776718	-0.290663275	-0.195286262	-0.019469597	-0.450732178	-0.343319231	-0.15375579	-0.008674276	-0.000220108	-0.00069034	-0.000100049	-0.01389685	-0.001830902	-0.000450222	-0.013016416	-0.000320158	-0.063182505	-0.075247091	-0.185351364	-0.000220108	0.7744417419999999	-0.221159015	-0.000220108	-0.000220108	-0.215886416	-0.000220108	-0.00434214	-0.000100049	-0.000220108	-0.000220108	-0.253805107	-0.056868032	-0.137958003	-0.000100049	-0.144171066	-0.423358684	-0.000340168
