id	formula	mw_without_moeity
# From iAF1260
3haACP_c	C15H27N2O9PAcpS	442.421641
3hcddec5eACP_c	C23H41N2O9PAcpS	552.618401
3hcmrs7eACP_c	C25H45N2O9PAcpS	580.671561
3hcpalm9eACP_c	C27H49N2O9PAcpS	608.724721
3hcvac11eACP_c	C29H53N2O9PAcpS	636.777881
3hddecACP_c	C23H43N2O9PAcpS	554.634281
3hdecACP_c	C21H39N2O9PAcpS	526.581121
3hhexACP_c	C17H31N2O9PAcpS	470.474801
3hmrsACP_c	C25H47N2O9PAcpS	582.687441
3hoctACP_c	C19H35N2O9PAcpS	498.527961
3hoctaACP_c	C29H55N2O9PAcpS	638.793761
3hpalmACP_c	C27H51N2O9PAcpS	610.740601
3ocddec5eACP_c	C23H39N2O9PAcpS	550.602521
3ocmrs7eACP_c	C25H43N2O9PAcpS	578.655681
3ocpalm9eACP_c	C27H47N2O9PAcpS	606.708841
3ocvac11eACP_c	C29H51N2O9PAcpS	634.762001
3oddecACP_c	C23H41N2O9PAcpS	552.618401
3odecACP_c	C21H37N2O9PAcpS	524.565241
3ohexACP_c	C17H29N2O9PAcpS	468.458921
3omrsACP_c	C25H45N2O9PAcpS	580.671561
3ooctACP_c	C19H33N2O9PAcpS	496.512081
3ooctdACP_c	C29H53N2O9PAcpS	636.777881
3opalmACP_c	C27H49N2O9PAcpS	608.724721
ACP_c	C11H21N2O7PAcpS	356.332401
acACP_c	C13H23N2O8PAcpS	398.369081
actACP_c	C15H25N2O9PAcpS	440.405761
apoACP_c	AcpHO	17.00734
but2eACP_c	C15H25N2O8PAcpS	424.406361
butACP_c	C15H27N2O8PAcpS	426.422241
cddec5eACP_c	C23H41N2O8PAcpS	536.619001
cdec3eACP_c	C21H37N2O8PAcpS	508.565841
dcaACP_c	C21H39N2O8PAcpS	510.581721
ddcaACP_c	C23H43N2O8PAcpS	538.634881
hdeACP_c	C27H49N2O8PAcpS	592.725321
hexACP_c	C17H31N2O8PAcpS	454.475401
malACP_c	C14H22N2O10PAcpS	441.370641
myrsACP_c	C25H47N2O8PAcpS	566.688041
ocACP_c	C19H35N2O8PAcpS	482.528561
ocdcaACP_c	C29H55N2O8PAcpS	622.794361
octeACP_c	C29H53N2O8PAcpS	620.778481
palmACP_c	C27H51N2O8PAcpS	594.741201
t3c11vaceACP_c	C29H51N2O8PAcpS	618.762601
t3c5ddeceACP_c	C23H39N2O8PAcpS	534.603121
